,date,PERMNO,SHRCD,EXCHCD,TICKER,PRC,VOL,RET,SHROUT
4200077,2019-10,15410,11.0,3.0,,97.23,26179.0,0.021968,16401.0
4200078,2019-10,15411,12.0,3.0,,21.76,1596044.0,0.452604,287624.0
4200079,2019-10,15416,11.0,3.0,,5.07,29425.0,-0.061111,11797.0
4200080,2019-10,15417,11.0,3.0,,1.38,247481.0,0.022222,3367.0
4200081,2019-10,15419,31.0,3.0,,8.4584,3235.0,-0.161705,2347.0
4200082,2019-10,15423,12.0,3.0,,0.4830100000000001,87832.0,0.526098,36180.0
4200083,2019-10,15424,12.0,3.0,,1.43,16838.0,0.02425,134896.0
4200084,2019-10,15425,12.0,3.0,,1.67,21379.0,-0.18932,26064.0
4200085,2019-10,15427,71.0,3.0,,13.56,8116.0,0.056852,23161.0
4200086,2019-10,15429,11.0,3.0,,20.85,132499.0,-0.168163,39248.0
4200087,2019-10,15431,11.0,3.0,,3.5,48703.0,-0.127182,69994.0
4200088,2019-10,15432,11.0,3.0,,3.34,6307.0,-0.156566,18588.0
4200089,2019-10,15433,11.0,3.0,,3.31,119650.0,-0.029326,49393.0
4200090,2019-10,15435,11.0,3.0,,29.1,6539.0,0.028632,18856.0
4200091,2019-10,15436,11.0,3.0,,0.2599,336403.0,-0.161613,9927.0
4200092,2019-10,15438,73.0,3.0,,23.39,10669.0,0.235605,1050.0
4200093,2019-10,15440,11.0,3.0,,83.43,113812.0,-0.044111,29453.0
4200094,2019-10,15442,73.0,3.0,,13.32,1690.0,-0.208556,250.0
4200095,2019-10,15443,11.0,2.0,,0.287,66385.0,-0.13943,14188.0
4200096,2019-10,15444,73.0,4.0,,28.4838,906.0,0.035903,650.0
4200097,2019-10,15445,73.0,4.0,,29.47,1558.0,-0.02974,700.0
4200098,2019-10,15450,44.0,1.0,,15.95,3201.0,0.005646,7181.0
4200099,2019-10,15452,11.0,1.0,,7.62,183955.0,0.059805,83813.0
4200100,2019-10,15453,73.0,4.0,,26.04,1240.0,0.019406,1750.0
4200101,2019-10,15454,11.0,1.0,,63.83,82816.0,0.021117,36861.0
4200102,2019-10,15455,18.0,1.0,,19.48,104685.0,0.026282,84486.0
4200103,2019-10,15456,11.0,1.0,,43.51,410270.0,0.016914,107039.0
4200104,2019-10,15457,11.0,3.0,,28.94,51614.0,-0.014976,23108.0
4200105,2019-10,15461,73.0,4.0,,23.68,28056.0,0.039052,14800.0
4200106,2019-10,15462,73.0,4.0,,27.0441,94.0,0.033721,200.0
4200107,2019-10,15466,11.0,1.0,,16.72,156039.0,0.002999,70495.0
4200108,2019-10,15477,44.0,1.0,,13.46,22857.0,0.010171,30156.0
4200109,2019-10,15478,11.0,1.0,,82.62,235401.0,0.018617,188300.0
4200110,2019-10,15482,11.0,1.0,,21.46,330903.0,0.033719,168618.0
4200111,2019-10,15486,12.0,3.0,,6.18,25572.0,-0.043344,22792.0
4200112,2019-10,15488,11.0,3.0,,104.1,1700072.0,0.004922999999999999,1174192.0
4200113,2019-10,15489,11.0,1.0,,4.11,98385.0,0.317308,47607.0
4200114,2019-10,15490,11.0,3.0,,62.66,270937.0,0.169903,77200.0
4200115,2019-10,15491,11.0,3.0,,4.5,45174.0,0.304347,1441.0
4200116,2019-10,15492,73.0,3.0,,14.85,2470.0,-0.000795,2000.0
4200117,2019-10,15493,11.0,3.0,,1.6,45966.0,-0.058824,57293.0
4200118,2019-10,15495,73.0,3.0,,48.1674,3922.0,0.006814,7300.0
4200119,2019-10,15496,11.0,3.0,,1.91,262600.0,0.026882,68712.0
4200120,2019-10,15497,11.0,3.0,,5.24,44509.0,0.058586,42016.0
4200121,2019-10,15498,73.0,3.0,,28.58,40768.0,0.033444,36900.0
4200122,2019-10,15503,73.0,3.0,,47.09,413.0,0.020253,600.0
4200123,2019-10,15504,73.0,3.0,,45.172,1574.0,0.019069,2100.0
4200124,2019-10,15505,11.0,3.0,,22.76,2218.0,-0.047123000000000005,11195.0
4200125,2019-10,15506,11.0,3.0,,14.03,163884.0,-0.142158,35844.0
4200126,2019-10,15507,11.0,3.0,,0.31,136486.0,-0.206146,74688.0
4200127,2019-10,15508,11.0,3.0,,4.7,8477.0,0.394659,20762.0
4200128,2019-10,15510,11.0,3.0,,3.95,3243.0,0.238245,3036.0
4200129,2019-10,15525,11.0,3.0,,3.91,15152.0,-0.107306,67109.0
4200130,2019-10,15526,31.0,3.0,,66.5627,3658.0,0.022469,2966.0
4200131,2019-10,15527,11.0,3.0,,18.15,42102.0,0.002762,36457.0
4200132,2019-10,15530,11.0,3.0,,15.75,57341.0,0.055276,18839.0
4200133,2019-10,15531,11.0,3.0,,1.48,24945.0,0.0,49731.0
4200134,2019-10,15532,11.0,3.0,,1.89,112668.0,-0.035714,102836.0
4200135,2019-10,15533,11.0,3.0,,1.05,22953.0,-0.139344,98367.0
4200136,2019-10,15534,11.0,3.0,,38.52,178129.0,0.17439000000000002,77529.0
4200137,2019-10,15535,11.0,3.0,,63.88,225605.0,0.08935900000000001,63589.0
4200138,2019-10,15537,11.0,3.0,,15.86,7180.0,-0.019171,7050.0
4200139,2019-10,15539,11.0,3.0,,11.4,34689.0,-0.041129,19448.0
4200140,2019-10,15540,11.0,3.0,,28.15,11500.0,0.191787,26928.0
4200141,2019-10,15541,11.0,3.0,,50.09,110915.0,0.103547,49385.0
4200142,2019-10,15542,11.0,3.0,,1.48,39536.0,-0.045161,36809.0
4200143,2019-10,15543,11.0,3.0,,1.72,9223.0,-0.108808,18958.0
4200144,2019-10,15546,11.0,3.0,,32.57,679623.0,0.09222,142712.0
4200145,2019-10,15550,71.0,1.0,,10.75,9716.0,-0.203704,27633.0
4200146,2019-10,15554,73.0,4.0,,34.7739,1820.0,0.030707,3900.0
4200147,2019-10,15556,73.0,4.0,,46.62,44460.0,0.000215,15350.0
4200148,2019-10,15558,73.0,4.0,,21.2385,74.0,0.034722,250.0
4200149,2019-10,15559,73.0,4.0,,20.08,375.0,0.023007,450.0
4200150,2019-10,15562,73.0,4.0,,20.87,20331.0,0.026072,11000.0
4200151,2019-10,15563,73.0,4.0,,24.3906,3592.0,0.014261,2450.0
4200152,2019-10,15564,73.0,4.0,,24.4588,552.0,0.008875,300.0
4200153,2019-10,15565,73.0,4.0,,26.6785,91.0,-0.006534999999999999,50.0
4200154,2019-10,15566,73.0,4.0,,26.6425,974.0,-0.012359,1450.0
4200155,2019-10,15568,73.0,4.0,,16.2915,56.0,0.006891,50.0
4200156,2019-10,15569,73.0,4.0,,21.97,1197.0,0.007673,400.0
4200157,2019-10,15570,73.0,4.0,,18.1138,94.0,0.027151,100.0
4200158,2019-10,15571,73.0,4.0,,29.8852,1650.0,0.025925,1050.0
4200159,2019-10,15572,73.0,4.0,,27.3837,1171.0,0.015659,2750.0
4200160,2019-10,15574,73.0,4.0,,23.61,6272.0,-0.017069,2300.0
4200161,2019-10,15575,73.0,4.0,,30.2343,196.0,0.013213999999999998,250.0
4200162,2019-10,15576,73.0,4.0,,25.7025,68.0,0.022106,100.0
4200163,2019-10,15577,31.0,1.0,,1.78,9571.0,-0.239316,5300.0
4200164,2019-10,15578,73.0,4.0,,31.4484,1220.0,0.031031,2700.0
4200165,2019-10,15579,11.0,3.0,,117.99,1164256.0,-0.080084,934775.0
4200166,2019-10,15580,11.0,3.0,,2.23,575.0,-0.16791,20480.0
4200167,2019-10,15581,44.0,1.0,,9.97,6038.0,0.006677,15780.0
4200168,2019-10,15582,11.0,1.0,,11.35,15670.0,0.091346,21100.0
4200169,2019-10,15583,73.0,4.0,,40.2988,3416.0,0.006487000000000001,7025.0
4200170,2019-10,15584,48.0,1.0,,43.49,48456.0,0.023535,36829.0
4200171,2019-10,15585,11.0,1.0,,76.6,295973.0,0.131128,72382.0
4200172,2019-10,15590,11.0,2.0,,2.34,805.0,-0.190311,9779.0
4200173,2019-10,15593,73.0,4.0,,52.33,52598.0,0.003414,19000.0
4200174,2019-10,15597,11.0,1.0,,9.88,51261.0,0.073913,41657.0
4200175,2019-10,15602,73.0,5.0,,-22.565,111.0,0.038665,250.0
4200176,2019-10,15605,73.0,4.0,,25.1722,2046.0,0.037571,1150.0
4200177,2019-10,15610,73.0,4.0,,23.75,21829.0,0.045859,15650.0
4200178,2019-10,15612,73.0,4.0,,24.1047,1508.0,-0.06352100000000001,100.0
4200179,2019-10,15613,73.0,4.0,,41.55,6765.0,0.038231,500.0
